"","89_MattDonor_MUT_F_Col_S268","90_MattDonor_WT_M_Col_S269","91_MattDonor_WT_F_Col_S270","92_MattDonor_WT_M___S271","93_MattDonor_MUT_M_Cec_S272","94_MattDonor_MUT_F_Cec_S273"
"MGYG000325657",27,29,60,27,47,10
"MGYG000325523",40,60,63,42,88,35
"MGYG000325354",465,764,1242,257,239,341
"MGYG000325392",136,135,259,98,35,62
"JAAVFS01 sp014802385",49,91,95,34,48,33
"MGYG000327349",24,54,60,18,83,14
"Parabacteroides johnsonii",55,281,84,96,26,161
"Parabacteroides sp910577325",41,190,110,120,2430,61
"Bacteroides faecis",116,582,382,224,1658,114
"Bacteroides bouchesdurhonensis",44,131,79,48,307,68
"Bacteroides ovatus",315,1119,604,397,2035,222
"Bacteroides caccae",302,996,712,405,4166,204
"MGYG000325504",140,688,369,386,13826,139
"Bacteroides salyersiae",29,107,83,74,1291,54
"Bacteroides stercorirosoris",73,169,138,182,2793,113
"MGYG000325502",97,174,138,73,222,93
"Prevotella pectinovora",74,198,185,119,1235,63
"Prevotella sp000436915",13,25,28,0,20,10
"MGYG000325596",23,41,63,33,245,24
"Tidjanibacter sp910577285",43,145,135,157,71,153
"Odoribacter sp910588375",17,48,47,78,188,35
"Odoribacter sp910578985",140,769,768,789,587,407
"Odoribacter sp009935865",29,101,89,218,405,79
"Cryptobacteroides sp000431015",25,42,44,17,38,14
"MGYG000325795",34,84,76,93,135,59
"MGYG000326972",0,14,0,0,54,0
"Pullibacteroides sp910578275",42,85,67,27,362,16
"Barnesiella intestinihominis",0,15,12,0,22,0
"MGYG000376875",13,28,13,30,0,32
"MGYG000410984",0,12,0,11,86,12
"MGYG000329711",0,32,26,15,0,30
"Sporofaciens sp910584575",0,17,13,10,0,16
"Sporofaciens sp011960625",0,16,0,35,15,12
"MD308 sp910579335",0,16,17,0,0,11
"14-2 sp910585625",0,49,17,49,0,38
"14-2 sp910585895",0,16,10,37,0,20
"14-2 sp004793545",0,36,34,131,22,94
"14-2 sp910580195",0,35,20,52,0,40
"14-2 sp910580015",0,32,12,30,0,27
"14-2 sp910585395",0,0,0,19,0,0
"14-2 sp910587895",0,31,10,33,0,15
"MGYG000327388",0,11,12,10,0,0
"MGYG000410811",0,25,15,30,0,24
"MGYG000352925",0,44,31,62,0,43
"MGYG000331207",0,17,10,16,0,17
"MGYG000328397",0,12,0,0,0,0
"14-2 sp910588965",0,12,0,33,0,17
"14-2 sp910586005",0,22,18,21,0,27
"14-2 sp022790855",0,0,0,12,0,25
"Ventrimonas sp910588875",29,1254,46,87,33,67
"Ventrimonas sp910586205",10,273,32,45,54,48
"Ventrimonas sp910588125",0,50,0,18,0,30
"MGYG000329105",0,35,0,0,0,16
"Ventrimonas sp022794255",0,35,15,12,0,27
"MGYG000432287",0,52,14,74,14,67
"Ventrimonas sp910584845",0,42,13,23,0,44
"UBA3282 sp910587715",0,115,13,392,3681,48
"MGYG000411593",49,167,57,107,24,126
"MGYG000323128",0,13,0,25,0,16
"UBA3282 sp910578645",0,144,24,121,20,90
"UBA3282 sp910579735",0,26,0,34,12,37
"MGYG000325815",0,49,0,74,0,37
"UBA3282 sp910579395",0,20,20,29,0,30
"UBA3282 sp009774575",0,42,15,64,0,43
"MGYG000329420",47,215,79,222,29,381
"MGYG000323012",38,124,55,223,56,237
"MGYG000325709",0,16,0,18,0,17
"MGYG000325198",0,32,0,56,0,42
"UBA3282 sp910578845",0,25,13,24,0,28
"MGYG000325513",0,26,0,32,0,14
"UBA3282 sp910588955",0,130,10,337,116,82
"MGYG000325450",0,19,10,53,12,47
"MGYG000325999",15,127,37,42,10,97
"MGYG000411525",0,23,0,17,0,17
"MGYG000325558",13,51,20,60,11,108
"MGYG000322990",0,22,14,20,0,20
"MGYG000330673",0,0,0,0,0,0
"MGYG000368565",0,0,0,0,0,0
"UBA7109 sp910580235",0,17,0,0,0,0
"MGYG000324764",11,17,0,13,0,24
"MGYG000324065",0,12,0,14,39,0
"Roseburia sp910577925",0,10,0,16,0,10
"Roseburia intestinalis",0,0,0,40,0,20
"MGYG000328589",0,15,10,12,10,0
"MGYG000393816",0,0,0,18,0,0
"Butyribacter sp910579085",0,27,0,63,0,57
"MGYG000329302",26,29,29,115,30,115
"MGYG000348373",0,15,11,13,30,13
"MGYG000325401",0,0,0,20,0,14
"Butyribacter sp910586555",24,22,14,97,15,113
"Butyribacter sp910586605",0,0,0,20,14,13
"1XD8-76 sp003611955",0,35,15,90,16,68
"1XD8-76 sp910584915",0,17,0,35,0,28
"1XD8-76 sp022799355",12,40,12,223,20,76
"Blautia coccoides",0,14,0,23,142,14
"Blautia hominis",0,140,48,46,495,14
"MGYG000330300",11,42,36,33,10,12
"Blautia sp001304935",0,16,0,17,156,0
"MGYG000411610",0,44,25,29,0,66
"Acetatifactor sp910578215",0,22,0,53,11,17
"MGYG000403847",0,22,18,59,0,42
"Acetatifactor sp910585665",0,31,17,575,75,202
"MGYG000410724",13,56,21,409,141,165
"MGYG000329148",0,0,0,42,16,14
"MGYG000331408",0,33,54,64,75,64
"MGYG000331279",0,0,0,15,0,12
"Acetatifactor sp910584375",0,27,17,85,15,42
"MGYG000345025",0,32,12,66,0,29
"Acetatifactor sp910586435",0,30,22,115,13,57
"MGYG000330154",0,0,0,35,11,21
"MGYG000327196",0,19,0,13,0,20
"Acetatifactor sp910586215",0,32,0,430,151,139
"Acetatifactor sp011959105",0,44,11,52,14,34
"Acetatifactor sp910586515",0,54,12,275,58,117
"MGYG000325688",0,16,0,48,0,30
"MGYG000325419",0,19,11,74,17,52
"Acetatifactor sp910585015",0,414,0,315,0,28
"Acetatifactor sp910577665",23,89,70,180,17,119
"MGYG000329799",0,14,12,66,10,40
"Acetatifactor sp910588225",11,85,52,862,124,189
"MGYG000410939",0,42,28,45,19,51
"MGYG000327533",20,74,36,247,38,116
"Acetatifactor sp022797535",0,0,0,20,0,0
"Acetatifactor sp022793065",0,32,0,764,314,59
"MGYG000329051",0,105,0,127,27,24
"MGYG000324774",81,287,209,105,0,56
"Lachnospira sp910587485",0,46,18,37,0,63
"Anaerostipes caccae",0,0,0,0,0,0
"1XD42-69 sp910585825",0,29,0,57,0,33
"1XD42-69 sp910586725",0,18,10,34,0,13
"MGYG000325395",0,0,0,16,0,0
"1XD42-69 sp910586355",0,11,10,43,0,18
"MGYG000330490",0,0,0,21,0,0
"1XD42-69 sp910589105",0,11,0,0,0,0
"MGYG000327486",0,11,0,43,0,0
"MGYG000331229",0,43,10,47,13,46
"UBA3402 sp910588505",26,127,42,68,22,117
"UBA3402 sp022792815",208,2394,269,1023,113,712
"UBA3402 sp910579515",0,69,228,40,10,41
"MGYG000410806",24,92,24,111,26,118
"MGYG000324300",41,137,98,51,0,121
"MGYG000324807",10,69,32,56,0,69
"MGYG000327237",0,31,16,54,10,48
"MGYG000327181",10,34,22,72,10,51
"CAG-95 sp910577445",0,182,43,168,40,88
"CAG-95 sp002492465",0,31,23,76,16,36
"CAG-95 sp910587305",28,127,50,205,105,167
"CAG-95 sp910587295",10,93,20,83,11,43
"MGYG000410955",14,93,39,108,54,124
"MGYG000325519",0,60,28,92,16,70
"MGYG000325286",12,48,19,53,10,75
"CAG-95 sp000403495",11,104,94,856,186,329
"CAG-95 sp014804245",0,30,31,49,18,31
"MGYG000324752",0,11,14,17,0,12
"MGYG000330445",211,435,254,125,11,335
"COE1 sp014239155",13,48,22,105,47,59
"MGYG000325661",0,57,63,144,41,132
"COE1 sp011959805",0,45,37,297,73,118
"COE1 sp009774245",0,13,11,74,23,30
"MGYG000325434",0,15,0,86,27,47
"COE1 sp910577115",181,4057,486,20176,3077,12070
"COE1 sp000403215",88,2867,378,72437,24839,6496
"COE1 sp910588595",0,44,15,400,103,102
"COE1 sp910586095",0,15,19,57,0,25
"MGYG000325380",0,64,62,1086,295,119
"MGYG000328561",0,27,41,166,11,139
"COE1 sp910578795",12,37,19,254,35,102
"COE1 sp003513705",0,47,102,208,37,138
"Eubacterium_F sp910577295",0,45,23,67,13,49
"Eubacterium_F sp910584065",0,28,13,17,0,19
"Eubacterium_F sp910584245",962,1929,2158,2003,130,3875
"Eubacterium_F sp910589665",0,14,14,0,0,11
"Eubacterium_F sp910584645",0,58,15,15,0,12
"MGYG000327551",0,17,21,53,0,65
"VSOB01 sp910585345",0,67,41,139,22,103
"VSOB01 sp910589075",0,30,0,40,16,23
"Merdisoma sp910586955",0,0,0,0,0,0
"Merdisoma sp910587955",0,14,0,24,0,11
"MGYG000331110",0,30,50,69,40,48
"Eubacterium_J plexicaudatum",11,43,50,78,25,44
"Eubacterium_J sp910586445",17,29,42,98,33,366
"Eubacterium_J sp910577225",0,39,88,94,14,50
"Eubacterium_J sp009774535",0,18,18,39,19,23
"Eubacterium_J sp910586225",0,17,13,101,23,29
"Eubacterium_J sp910584345",0,14,131,67,25,40
"MGYG000327547",0,36,160,73,16,61
"MGYG000325711",0,14,39,34,13,18
"MGYG000324920",0,14,25,47,11,49
"Eubacterium_J sp910586045",0,12,20,30,0,12
"MGYG000331263",0,16,13,22,0,23
"Kineothrix sp910579645",42,137,98,504,90,244
"Kineothrix sp023399455",0,17,0,11,0,53
"Kineothrix sp910578405",10,38,26,44,0,52
"MGBC164599 sp910584115",0,12,13,13,0,15
"MGYG000330773",0,0,0,17,0,0
"MGYG000323038",0,0,0,12,0,0
"Caccovicinus sp910589195",12,112,41,55,0,40
"Copromonas sp910585355",16,91,44,84,10,78
"MGYG000329350",13,35,35,23,0,22
"Copromonas sp900066535",0,0,0,0,0,0
"MGYG000346909",43,160,92,93,14,232
"Eisenbergiella porci",0,0,0,0,0,0
"MGYG000379181",0,76,19,66,21,66
"CAG-510 sp910578335",0,41,27,104,27,56
"CAG-510 sp910577015",24,47,84,91,12,226
"MGYG000325414",16,67,38,67,0,52
"MGYG000328974",0,0,0,0,0,0
"MGYG000329478",0,10,0,15,11,14
"SIG307 sp910577175",0,20,16,16,0,13
"Clostridium_Q symbiosum",0,29,24,162,32,38
"Clostridium_Q sp009911305",63,352,248,230,62,288
"Enterocloster bolteae",0,24,0,11,0,12
"MGYG000330164",0,10,0,20,0,23
"MGYG000325314",0,0,0,0,0,0
"MGYG000323607",0,38,20,55,0,44
"RGIG4057 sp910577675",0,36,20,56,0,35
"RGIG8607 sp910588535",0,58,16,417,4768,17
"MGYG000325404",0,0,0,0,0,0
"MGBC131033 sp910585655",0,26,13,68,13,74
"MGYG000409986",0,42,38,150,306,11
"MGYG000323124",0,11,0,0,0,10
"MGYG000327294",0,15,10,14,0,15
"RUG115 sp910578885",0,10,13,0,0,0
"MGYG000328329",0,0,0,12,0,10
"MGYG000410396",10,28,12,41,0,66
"RGIG7193 sp910586125",0,17,0,29,12,19
"MGYG000325636",0,0,0,14,0,0
"Agathobacter sp910587655",0,18,0,30,0,34
"MGYG000410161",0,0,10,26,0,14
"MGYG000327199",0,30,15,37,0,46
"RGIG3040 sp910585715",0,32,24,44,0,33
"Butyrivibrio_A sp000431815",0,0,0,34,0,16
"Butyrivibrio_A sp910577605",0,10,0,0,0,0
"MGYG000325389",0,0,0,0,0,0
"MGBC114844 sp910579865",0,0,0,16,0,0
"CAG-303 sp910577835",725,1310,1875,637,17,1534
"CAG-303 sp910584685",18,49,29,22,14,0
"MGYG000327534",0,18,12,11,0,11
"An181 sp910585545",0,0,10,13,0,0
"RGIG3002 sp910579805",12,24,16,26,0,43
"MGYG000323516",0,140,27,71,34,34
"MGBC120314 sp910584325",10,41,32,52,11,41
"MGYG000328392",0,14,0,40,0,18
"CAG-632 sp910587045",0,0,0,0,0,12
"MGBC136627 sp910585935",0,17,0,23,0,0
"MGBC165282 sp910589265",0,26,10,43,21,23
"Mediterraneibacter_A sp022790755",0,68,0,24,0,0
"Hungatella effluvii",0,11,0,0,10,0
"Mobilitalea sp023395555",0,0,0,0,20,0
"Fusicatenibacter saccharivorans",0,11,0,0,0,0
"CAG-411 sp014799595",0,16,16,34,0,38
"MGYG000323744",0,27,17,29,13,23
"MGBC143606 sp910587935",0,11,0,16,0,0
"C-53 sp003612525",0,0,0,0,0,0
"Ruminococcus_B gnavus",0,0,0,0,0,0
"Frisingicoccus caecimuris",0,14,13,0,10,0
"MGYG000326088",0,0,0,0,0,33
"Lawsonibacter sp900066645",0,46,30,43,0,67
"MGYG000327494",11,63,31,80,14,119
"MGYG000325423",12,83,54,72,10,93
"Dysosmobacter sp022797935",35,272,37,747,112,720
"MGYG000327261",0,38,0,104,21,66
"Dysosmobacter sp910588005",12,454,39,13139,1034,340
"Dysosmobacter sp001916835",0,21,0,75,0,48
"Dysosmobacter sp910585165",17,231,35,301,50,313
"MGYG000329398",0,110,27,359,40,232
"MGYG000322989",12,140,41,526,46,290
"MGYG000323872",0,77,49,191,40,188
"Pelethomonas sp022797115",22,205,76,327,60,311
"Pelethomonas sp910584045",52,283,108,736,77,612
"MGYG000325682",16,106,44,283,28,203
"MGYG000329870",34,286,89,359,52,363
"MGYG000409933",15,68,57,197,45,182
"MGYG000325610",10,80,35,134,31,90
"Faecousia sp900544705",0,0,0,0,0,0
"MGYG000327369",18,100,35,155,25,137
"MGYG000327333",67,379,228,248,53,380
"Marseille-P3106 sp905219705",103,265,193,133,34,353
"Marseille-P3106 sp910577415",20,86,54,38,0,107
"MGYG000329177",666,6991,2213,1661,228,1883
"HGM13010 sp022800755",0,72,48,97,12,80
"Flavonifractor plautii",14,118,46,107,19,144
"Intestinimonas butyriciproducens",0,51,20,55,20,84
"MGBC124762 sp910579775",14,44,14,36,0,68
"MGYG000329700",11,94,58,120,15,101
"MGYG000323009",25,87,60,90,25,109
"MGYG000326780",0,28,0,26,0,25
"MGYG000329402",0,15,0,30,25,37
"MGYG000411571",39,0,0,0,0,25
"MGYG000356933",37,108,87,42,0,30
"MGYG000376485",0,14,13,0,0,13
"Fimivicinus sp900544375",0,0,0,0,0,0
"Ruminococcus_E sp910585865",0,0,0,0,0,0
"UBA1417 sp900549945",0,0,0,0,0,0
"MGYG000360413",0,0,0,0,0,0
"Ruthenibacterium lactatiformans",0,14,27,14,0,10
"MGYG000410556",0,0,0,0,0,0
"UBA1394 sp900066845",0,0,0,0,0,0
"MGYG000410798",59,323,57,93,10,322
"MGYG000327515",14,87,14,25,28,93
"MGYG000325568",0,0,0,0,0,0
"MGYG000325411",0,0,0,0,12,0
"MGYG000328314",21,85,109,247,28,366
"UBA1405 sp910589145",0,19,0,29,10,21
"CAG-115 sp910587135",66,218,146,159,54,161
"CAG-115 sp910577365",25,204,26,53,0,146
"CAG-115 sp910587465",24,167,22,68,0,153
"Faecalibacterium sp900539945",0,0,0,0,0,0
"Faecalibacterium longum",0,0,0,0,0,0
"Faecalibacterium prausnitzii_F",0,0,0,0,0,0
"MGYG000325416",0,0,0,0,0,0
"UBA7177 sp910579545",0,25,0,33,0,57
"UBA7177 sp910578965",0,11,0,29,0,20
"Neobittarella massiliensis",0,0,0,0,0,0
"Gemmiger formicilis",0,0,0,0,49,0
"MGYG000328468",0,0,0,0,0,0
"UBA866 sp022791945",0,34,27,28,13,52
"UMGS1601 sp900545345",0,0,0,0,0,0
"MGYG000410783",0,0,0,10,0,25
"MGYG000330170",0,0,17,21,0,10
"MGYG000330888",0,0,0,0,0,0
"MGYG000329160",0,12,11,107,12,31
"QXXE01 sp910586105",11,19,17,32,16,52
"MGYG000330847",19,37,0,32,0,23
"MGYG000325472",0,0,0,0,0,0
"RACS-045 sp013316135",0,16,19,160,92,16
"MGBC161649 sp910587685",0,13,0,65,14,26
"Coproplasma sp910586035",774,1256,994,17061,20008,6523
"Coproplasma sp910579295",57,157,82,1076,676,458
"Coproplasma sp910587825",135,456,215,9138,2931,669
"Coproplasma sp910585705",15,37,27,89,50,34
"Coproplasma sp910576655",0,0,0,22,11,0
"MGYG000410549",39,127,74,691,184,261
"MGYG000410782",77,661,458,6598,1192,1181
"Coproplasma sp910577555",300,1249,782,5921,2077,4257
"Gallimonas sp910586985",75,157,221,4084,1675,965
"Gallimonas sp910586365",190,600,757,5915,4793,1027
"Gallimonas sp910589015",13,49,57,394,359,70
"Gallimonas sp910586825",106,706,400,5723,2995,690
"Gallimonas sp910586675",399,1506,384,19097,1800,3630
"Gallimonas sp910578065",58,93,37,843,160,300
"Anaerocaecibacter sp910578545",0,26,22,53,14,19
"Anaerocaecibacter sp910579205",17,308,155,1284,603,61
"Anaerocaecibacter sp910585055",15,135,80,777,293,73
"MGYG000327384",0,14,25,116,139,23
"MGBC157735 sp910588155",302,16968,6715,74616,22480,1837
"Pumilibacter sp910579245",322,2971,2292,8523,6324,2018
"UBA11524 sp000437595",0,92,45,0,383,12
"MGYG000388556",0,20,47,0,0,0
"Zhenpiania sp910583765",0,38,11,0,0,15
"RGIG7179 sp022793795",76,128,39,309,57,366
"VUNA01 sp002299625",0,0,0,0,20,0
"MGYG000327020",0,20,0,0,0,0
"Clostridioides difficile",0,10,0,0,0,0
"MGYG000369796",12,41,123,12,0,0
"MGYG000411069",13,41,0,144,26,50
"MGYG000328055",13,30,10,0,0,15
"MGYG000411369",21,58,27,37,106,19
"Clostridium sp910588715",0,0,0,11,0,0
"CAG-41 sp010206265",0,39,10,0,0,0
"Parasutterella excrementihominis",13,14,0,11,118,0
"Comamonas acidovorans",24,62,17,0,22,0
"Escherichia coli",681,86,635,14,632069,466
"Klebsiella michiganensis",0,0,0,0,737,0
"MGYG000408998",0,27,14,0,247,0
"MGYG000324409",13,18,27,20,0,13
"MGYG000366359",59,120,77,161,367,97
"MGYG000411437",39,102,63,44,259,73
"MGYG000350430",48,187,115,50,0,45
"MGYG000346441",11,48,20,0,0,14
"MGYG000330427",0,25,15,15,0,0
"MGYG000322940",0,0,0,0,21,0
"MGYG000410841",23,29,62,42,12,30
"Zag111 sp910584405",72,70,87,60,85,83
"Avigastranaerophilus sp910583875",0,0,0,0,0,0
"MGBC122484 sp910583725",0,0,0,53,10,0
"MGYG000326931",0,0,0,0,0,0
"MGYG000405972",168,2131,56,1754,109,612
"MGYG000328795",75,550,286,806,55,153
"HGM10857 sp910578745",0,0,0,0,0,0
"MGYG000410710",0,0,0,27,10,0
"Acetatifactor muris",14,46,21,223,49,276
"MGYG000325356",0,0,0,0,0,0
"MGYG000329400",0,23,0,14,0,0
"Coprocola sp910587735",34,60,43,229,205,466
"MGYG000324401",0,0,0,0,0,0
"MGYG000387050",0,12,14,16,38,56
"MGYG000326286",0,0,0,0,0,0
"Ruminococcus sp910576995",0,0,0,0,0,0
"Ruminococcus sp910579835",0,0,0,0,0,0
"Ruminococcus sp900540005",0,0,0,0,0,0
"Ruminococcus sp002362175",0,0,0,0,0,0
"Ruminococcus sp910577575",0,0,0,0,0,0
"MGYG000410441",0,2662,57,233,18,0
"MGYG000365643",0,0,0,0,0,0
"MGYG000369368",61,1546,16,182,24,129
"MGYG000330830",52,6634,0,280,137,260
"MGYG000324069",5425,16460,1420,7165,1355,9267
"MGYG000392389",0,77,0,0,0,0
"Coproplasma sp910578195",41,351,272,2882,1330,440
"Gallimonas sp910588615",0,224,68,3874,266,18
"Fimimonas sp910586905",104,656,583,3921,1039,1102
"MGYG000329863",0,0,46,0,92,0
"Pseudomonas aeruginosa",33,200,31,16,2090,0
"C-19 sp022799495",0,0,0,0,0,0
"MGBC140090 sp910586805",0,0,0,0,0,0
"MGYG000337677",0,0,0,25,0,32
"Staphylococcus nepalensis",0,34,0,10,0,0
"D16-34 sp910588485",0,0,0,0,0,0
"UMGS1502 sp900552365",0,0,0,0,0,0
"CACZQA01 sp900758075",0,0,0,0,0,0
"MGYG000325313",27,234,230,66,60,26
"Schaedlerella glycyrrhizinilytica_A",0,0,0,14,16,0
"MGYG000322968",0,20,13,16,0,29
"Butyribacter sp003612285",0,12,21,31,0,26
"Butyribacter sp910580005",0,13,0,17,0,21
"MGYG000325492",0,10,0,19,0,20
"Acetatifactor sp910578815",0,54,21,75,24,65
"Acetatifactor sp910583845",0,78,26,102,12,42
"MGYG000328399",14,13,21,21,12,16
"Acetatifactor sp910587755",0,26,24,36,11,33
"MGYG000329698",0,16,23,49,10,80
"CAG-95 sp009774465",0,23,17,42,10,35
"MGYG000410124",12,174,18,418,27,276
"UBA2882 sp002362385",35,19,23,14,0,283
"MGYG000350270",0,10,0,14,0,12
"MGYG000411484",0,17,0,12,0,11
"1XD42-69 sp003612565",0,11,51,22,0,57
"MGYG000324730",0,10,15,29,0,11
"Blautia_A wexlerae",0,0,0,0,0,0
"Bariatricus comes",0,0,0,0,0,0
"Wujia sp002493625",0,12,22,41,12,13
"MGYG000322947",0,18,50,84,18,63
"MGYG000322925",0,0,0,14,0,0
"MGYG000330643",0,0,0,0,0,0
"MGYG000325949",0,115,26,138,18,150
"Acutalibacter ornithocaccae",0,0,0,0,0,11
"Eubacterium_R sp910577195",12,24,33,16,0,53
"Avimonas_A sp022800315",0,0,0,0,0,0
"UBA3818 sp904397845",0,25,20,12,15,10
"MGYG000354216",0,0,0,0,0,0
"MGYG000350425",0,13,91,15,0,195
"MGYG000340095",432,2638,975,1761,33,1130
"MGYG000336507",0,0,0,0,0,0
"Agrobacterium pusense",0,0,0,0,0,0
"Brachyspira sp910578695",0,0,0,0,0,0
"MGYG000325577",37,81,97,18,40,19
"MGYG000325533",12,26,32,12,27,22
"MGYG000325757",18,41,61,24,14,0
"MGYG000325642",0,16,16,14,0,11
"Limisoma sp900544305",11,17,16,0,69,11
"MGYG000325491",18,44,47,10,39,19
"MGYG000325376",49,109,123,239,36,145
"Alistipes putredinis",40,111,82,164,98,136
"MGYG000325739",81,215,194,547,53,266
"MGYG000325349",65,100,90,250,63,161
"MGYG000325640",840,2250,2158,3885,502,2674
"Alistipes onderdonkii",134,398,152,187,1639,310
"Alistipes sp003979135",83,306,265,519,80,295
"Alistipes communis",13,102,62,56,21,30
"MGYG000330701",18,74,68,115,19,65
"Alistipes sp900541585",460,1257,1142,2150,353,1329
"MGYG000325578",35,73,78,60,0,57
"Alistipes_A ihumii",31,64,44,168,115,103
"Bacteroides eggerthii",16,55,43,17,173,10
"Prevotella faecis",10,28,18,12,814,0
"Prevotella sp900557405",13,21,22,0,60,0
"MGYG000325643",0,43,32,0,175,0
"Paraprevotella stercorigallinarum",17,28,24,0,184,12
"MGYG000325375",11,14,17,0,82,15
"C-19 sp009917405",16,59,22,14,0,0
"MGYG000328692",0,24,22,0,0,0
"MGYG000331358",0,20,0,0,13,0
"UBA2730 sp022793235",0,15,18,0,0,0
"Bacillus licheniformis",0,27,33,0,0,19
"Mailhella sp910577155",0,0,0,0,0,0
"MGYG000403150",0,181,14,1912,662,171
"COE1 sp910586405",16,343,60,10377,3590,907
"COE1 sp009774345",0,63,15,1223,375,131
"MGYG000329391",0,309,86,25,0,0
"MGYG000327122",0,123,33,69,25,17
"MGYG000326060",0,88,18,0,0,0
"MGYG000324350",0,62,22,0,0,0
"Copromonas sp000435795",0,11,0,0,11,13
"Kineothrix sp910586275",0,26,16,26,11,11
"MGYG000327375",0,0,0,0,0,0
"MGYG000331235",0,12,0,0,0,0
"MGBC111451 sp910578605",0,27,14,47,0,40
"MGYG000411179",51,254,105,222,26,422
"MGYG000325311",0,0,0,0,0,0
"Faecalibacterium prausnitzii",0,0,0,14,0,17
"MGYG000325383",0,0,0,0,0,0
"MGYG000323634",15,27,13,208,33,114
"Pumilibacter muris",25,179,487,937,661,218
"SFMI01 sp004556155",0,0,0,0,0,0
"MGYG000329762",0,0,0,0,0,0
"Escherichia ruysiae",17,0,19,0,13043,12
"Klebsiella variicola",0,0,0,0,4277,0
"Citrobacter_A rodentium",0,0,0,0,1927,0
"Citrobacter_A amalonaticus",0,0,0,0,325,0
"MGYG000339089",0,0,0,0,0,0
"UBA7185 sp910585405",0,0,0,14,0,10
"Helicobacter_D ganmani",0,20,25,14,36,0
"URXU01 sp900541915",0,0,0,0,0,0
"Dielma sp001305055",0,0,0,0,0,0
"Streptococcus danieliae",30,118,59,32,14,12
"Streptococcus alactolyticus",0,16,0,54,37,24
"MGYG000325510",0,10,0,0,0,0
"CAG-582 sp910587065",0,0,0,0,0,0
"MGBC119817 sp910586195",0,10,0,0,0,0
"MGBC107952 sp910578855",0,0,0,0,0,0
"MGYG000322996",0,0,0,0,0,14
"MGYG000329305",0,0,0,0,0,0
"Niallia sp001076885",0,0,0,0,0,0
"MGYG000387335",0,63,18,64,0,35
"UBA3282 sp910586615",0,22,0,25,0,16
"MGYG000325700",0,12,0,16,0,16
"UBA3282 sp910584965",0,21,10,28,10,41
"MGYG000325483",0,20,16,46,0,31
"MGYG000325802",0,15,11,30,0,23
"MGYG000329183",0,18,11,69,18,24
"UBA3282 sp910586705",0,15559,119,31331,1444,27
"UBA3282 sp910578715",0,0,0,33,0,19
"UBA3282 sp910585555",0,31,0,46,0,0
"MGYG000325820",0,15,0,27,0,0
"UBA3282 sp910578475",0,13,0,24,0,21
"MGYG000325646",0,23,13,144,42,54
"MGYG000373306",0,19,10,28,0,21
"MGYG000329401",0,29,12,29,0,13
"MGYG000327529",0,14,0,32,802,28
"Acetatifactor sp910577235",0,17,0,10,0,0
"MGYG000410713",0,10,0,0,0,10
"MGYG000325455",0,0,0,18,0,13
"Butyribacter sp910588655",11,12,18,41,26,37
"MGYG000330215",0,0,0,0,0,0
"Eubacterium_F sp910583555",0,25,12,15,0,25
"14-2 sp910588885",0,0,0,18,0,15
"MGYG000325200",0,22,0,19,0,23
"MGYG000410031",0,20,14,38,0,30
"COE1 sp910588755",0,0,16,88,22,40
"MGYG000325498",0,0,0,55,26,0
"COE1 sp910585765",0,16,0,71,15,25
"COE1 sp009774375",0,21,18,72,21,36
"MGYG000324875",0,16,35,32,0,11
"MGYG000328347",0,0,0,0,0,0
"MGYG000331069",0,10,0,10,0,0
"MGYG000330172",0,0,0,0,0,0
"CAG-317 sp000433535",0,0,0,0,0,0
"CAG-510 sp003979355",0,11,0,23,0,18
"MGYG000325599",0,0,0,0,0,0
"RGIG4057 sp910585065",0,22,0,28,11,16
"CAG-603 sp022794265",0,0,0,0,0,0
"CAG-603 sp910578175",0,0,0,14,0,0
"MGYG000325692",0,0,11,30,0,30
"MGYG000328520",0,18,0,43,0,31
"MGYG000325327",0,15,11,35,0,23
"UBA7050 sp003979345",0,0,11,34,14,21
"MGYG000325605",0,0,0,12,0,14
"MGBC140009 sp910586015",0,10,0,12,0,0
"MGYG000327466",0,0,0,0,0,0
"Clostridium_AP sp000509125",0,0,0,0,0,0
"MGYG000329308",0,23,0,14,0,0
"Coprocola sp910583755",0,16,0,23,13,30
"MGYG000410975",0,11,0,15,0,13
"Dysosmobacter welbionis",0,43,0,104,10,96
"Scatomorpha sp900545405",0,16,0,10,0,19
"MGYG000360335",14,41,11,16,0,14
"MGYG000329306",0,0,0,15,0,0
"Avispirillum sp910586545",0,0,0,20,0,10
"Anaerocaecibacter sp910586925",0,92,40,1404,2671,12
"Anaerocaecibacter sp910577995",21,66,33,645,352,142
"MGBC157735 sp910585955",13,63,150,191,78,38
"Pumilibacter sp910587595",0,91,65,544,257,59
"Protoclostridium sp910587025",21,53,41,799,305,251
"Coproplasma sp910587625",16,404,569,4272,1093,90
"Coproplasma sp910579705",0,44,45,320,114,112
"MGYG000327368",0,0,0,0,13,0
"MGYG000327859",0,0,0,0,10,0
"Lentihominibacter faecis",0,0,0,0,0,0
"MGYG000324400",0,11,65,0,0,0
"MGYG000357081",1541,1219,1286,2060,265057,2084
"Lacticaseibacillus paracasei",0,0,0,0,0,0
"Leuconostoc citreum",0,0,0,0,0,0
"Enterococcus_E cecorum",0,19,0,0,67,23
"MGYG000410809",0,0,11,0,0,0
"Anaerotardibacter sp000434775",0,0,0,0,0,0
"MGYG000325716",10,13,16,0,0,0
"Bacteroides fragilis",37,80,66,45,194,35
