"","SLC_SMT_NEG_91J","SLC_SMT_NEG_142J","SLC_SMT_NEG_152I","SLC_SMT_NEG_90I","SLC_SMT_NEG_109I","SLC_SMT_NEG_160I","SLC_SMT_NEG_144I","SLC_SMT_NEG_156I","SLC_SMT_NEG_191I","SLC_SMT_NEG_152J","SLC_SMT_NEG_109J","SLC_SMT_NEG_153I","SLC_SMT_NEG_110I","SLC_SMT_NEG_158I","SLC_SMT_NEG_192I","SLC_SMT_NEG_160J","SLC_SMT_NEG_191J","SLC_SMT_NEG_155I","SLC_SMT_NEG_103I","SLC_SMT_NEG_159I","SLC_SMT_NEG_193I","SLC_SMT_NEG_153J","SLC_SMT_NEG_110J","SLC_SMT_NEG_17I","SLC_SMT_NEG_101I","SLC_SMT_NEG_137I","SLC_SMT_NEG_103J","SLC_SMT_NEG_159J","SLC_SMT_NEG_193J","SLC_SMT_NEG_88I","SLC_SMT_NEG_18I","SLC_SMT_NEG_141I","SLC_SMT_NEG_17J","SLC_SMT_NEG_101J","SLC_SMT_NEG_197I","SLC_SMT_NEG_91I","SLC_SMT_NEG_15I","SLC_SMT_NEG_142I","SLC_SMT_NEG_18J","SLC_SMT_NEG_194I","SLC_SMT_NEG_89I","SLC_SMT_NEG_16I","SLC_SMT_NEG_143I","SLC_SMT_NEG_141J","SLC_SMT_NEG_194J","SLC_SMT_NEG_75I","SLC_SMT_NEG_89J"
"MGYG000328991",72,231,30,0,109,62,0,141,208,0,69,25,175,274,0,30,29,0,47,0,795,0,0,0,38,186,31,0,641,22,25,0,0,51,35,272,0,21,82,0,39,57,20,101,0,83,41
"Lawsonibacter sp022795855",52,13,65,0,21,211,0,21,98,17,20,0,27,10,0,41,0,11,0,0,457,0,0,0,0,0,0,0,274,21,0,0,0,0,121,261,0,0,0,0,21,0,0,0,0,0,44
"Lawsonibacter sp022791995",48,22,0,0,14,0,0,24,78,0,50,0,0,0,0,0,21,22,0,0,217,0,0,0,0,10,0,0,195,0,0,0,0,0,0,257,0,0,0,0,13,0,0,0,0,0,31
"MGYG000323117",44,130,30,0,55,55,0,135,85,0,51,0,132,104,0,22,20,11,36,11,311,0,11,0,37,74,32,0,229,12,0,0,0,45,31,211,0,12,27,0,31,20,24,85,0,39,62
"Lawsonibacter sp000492175",48,80,0,0,67,16,0,63,86,0,66,15,77,31,0,0,16,0,12,0,370,0,11,0,18,37,17,0,191,20,0,0,0,33,27,194,0,12,0,0,193,19,0,31,0,26,198
"MGYG000324476",38,124,20,0,37,32,0,122,70,0,33,12,72,62,0,11,22,0,28,0,295,0,0,0,17,58,28,0,213,12,10,0,0,10,15,147,0,0,26,0,16,31,0,43,0,48,19
"MGYG000411366",33,143,12,0,60,33,0,163,89,0,42,33,71,104,0,18,0,0,26,0,348,0,18,0,24,101,44,11,246,0,17,0,0,36,11,173,0,0,51,0,14,33,24,42,0,49,25
"MGYG000345714",28,72,18,0,53,32,0,67,65,0,49,0,77,43,0,15,19,0,18,0,207,0,0,0,19,58,19,0,164,12,0,0,0,17,25,116,0,0,19,0,14,22,10,0,0,39,27
"MGYG000329989",29,65,0,0,32,62,0,68,66,0,26,0,103,135,0,33,15,0,0,0,320,0,0,0,12,171,0,0,254,14,0,0,0,33,22,160,0,0,21,0,10,23,12,20,0,29,0
"Lawsonibacter sp910577805",25,57,11,0,47,32,0,37,171,0,45,0,557,74,0,14,41,17,242,0,142,0,174,0,45,65,39,0,114,0,0,0,0,86,15,124,0,0,0,0,10,0,0,0,0,14,17
"MGYG000410703",23,140,0,0,37,19,0,171,71,0,24,15,45,70,0,12,17,0,0,0,186,0,0,0,13,37,20,0,140,10,0,0,0,30,25,117,0,0,18,0,0,23,19,32,0,21,23
"MGYG000329873",23,93,0,0,26,14,0,110,65,0,21,0,24,36,0,12,13,0,14,0,216,0,0,0,14,38,0,0,146,0,0,0,0,14,18,140,0,0,13,0,0,14,13,22,0,13,12
"Lawsonibacter sp022796195",22,128,0,0,33,0,0,42,44,0,31,0,28,43,0,0,10,0,22,0,162,0,0,0,0,29,29,0,129,13,16,0,0,17,15,87,0,0,23,0,12,18,0,16,0,20,25
"MGYG000411569",19,94,0,0,28,0,0,68,53,0,24,0,42,37,0,11,0,0,12,0,173,0,0,0,18,31,22,0,133,0,0,0,0,15,0,117,0,0,0,0,0,20,0,27,0,20,12
"MGYG000327081",11,43,0,0,12,0,0,32,15,0,0,0,10,17,0,0,0,0,0,0,85,0,0,0,0,16,0,0,55,0,0,0,0,18,13,49,0,0,0,0,0,0,0,14,0,19,0
"Dysosmobacter sp009774015",1140,238,168,94,841,133,72,758,1134,41,920,172,1725,5693,38,41,195,94,597,210,5705,94,233,33,151,10701,1261,40,4029,137,359,0,41,293,117,5635,128,22,668,34,198,1914,24,26,0,4563,781
"Dysosmobacter sp910583785",527,117,15,25,251,21,28,95,1145,0,365,201,1995,71,51,12,247,40,238,0,1051,104,345,30,475,80,455,0,1018,66,20,0,21,750,0,2094,13,0,26,0,44,36,11,0,0,85,108
"Dysosmobacter sp910575815",537,760,725,40,515,496,31,5303,659,155,1131,395,439,2617,33,117,174,571,149,102,3639,193,52,41,68,3048,268,40,2531,259,369,57,52,130,452,2434,60,97,599,0,180,211,56,136,0,1071,733
"Dysosmobacter sp910579365",434,69,27,25,79,20,11,73,454,0,130,22,319,71,19,0,80,25,63,0,5295,34,23,0,42,66,78,0,5559,101,11,0,0,102,16,1493,0,0,36,0,40,31,0,0,0,46,136
"Dysosmobacter sp910587705",360,6962,153,46,150,6808,30,1229,136,0,141,641,3388,5639,41,583,37,17,799,200,703,2479,552,150,427,2157,506,64,683,1076,764,3542,463,403,635,2788,788,746,2656,0,889,575,165,9157,0,4410,87
"Dysosmobacter sp910586735",321,90,27,36,1110,29,23,97,1042,0,1044,17,3560,77,63,13,200,64,1462,0,4255,32,331,11,316,41,3170,0,3495,39,0,44,12,467,27,1483,0,0,25,0,217,21,12,75,0,49,1392
"Dysosmobacter sp910585385",209,450,0,10,1430,14,0,18,3273,0,4439,158,366,17,79,0,1036,98,159,0,2332,127,32,25,46,27,268,0,2017,332,0,0,37,73,0,808,0,35,0,0,100,0,232,0,0,13,606
"Dysosmobacter sp022791875",187,64,94,10,99,84,12,34,201,32,119,23,134,0,10,45,31,114,15,0,785,27,0,10,25,12,18,0,541,49,33,0,11,66,82,934,18,0,42,0,27,106,0,23,0,139,167
"Dysosmobacter sp910583695",167,103,113,11,118,75,14,30,216,17,100,12,210,28,0,14,30,22,50,0,749,12,14,0,38,42,54,0,532,36,0,0,0,77,42,735,0,27,12,0,38,12,31,0,0,19,234
"Dysosmobacter sp000403435",185,3072,116,16,184,110,0,227,530,30,346,46,332,197,26,38,81,39,100,0,1685,55,35,0,59,194,130,0,1446,36,51,0,0,120,60,794,0,393,96,0,57,68,97,83,0,108,257
"Dysosmobacter sp022791135",119,450,0,11,243,59,0,66,393,0,275,15,983,14,12,27,63,15,213,0,1470,0,60,0,53,18,290,0,794,22,15,0,0,91,0,592,0,64,19,0,56,11,77,0,0,29,255
"Dysosmobacter sp910588175",113,40,0,18,158,12,0,41,180,0,121,30,743,38,0,0,31,283,303,0,642,46,112,19,59,55,866,0,540,104,0,0,12,105,13,604,0,0,0,0,186,14,26,15,0,34,1135
"Dysosmobacter sp022795445",94,58,0,0,53,16,0,50,124,0,98,0,51,28,0,0,24,27,19,0,1462,16,0,0,12,19,31,0,723,20,11,0,0,36,12,378,0,0,24,0,98,17,0,0,0,20,458
"Dysosmobacter sp910575505",106,326,70,0,203,67,0,318,280,16,349,51,221,146,16,21,99,38,81,0,743,37,21,0,55,122,171,0,594,23,41,0,14,74,41,426,14,30,67,0,67,34,21,39,0,119,254
"Dysosmobacter sp009773995",96,248,26,16,141,73,0,195,206,0,306,53,207,116,27,16,64,16,140,0,1150,159,101,0,104,97,138,0,924,50,22,0,26,206,28,468,0,23,36,0,110,54,21,38,0,137,110
"Dysosmobacter sp022801815",98,25,102,12,60,180,0,32,83,21,66,48,78,69,0,40,17,52,0,0,472,48,0,16,0,126,56,0,362,152,0,0,18,23,56,531,0,0,26,0,18,28,0,0,0,56,68
"Dysosmobacter sp910577405",79,104,10,14,705,13,0,89,271,0,1226,0,121,50,17,0,71,0,61,0,726,0,16,0,75,42,50,0,592,27,0,33,0,163,11,472,11,16,39,0,64,24,10,99,0,37,310
"Dysosmobacter sp910578935",95,258,38,0,117,133,0,115,182,0,174,32,199,128,14,34,33,18,130,0,822,48,51,0,67,147,121,0,600,42,58,32,20,94,55,379,0,21,163,0,79,62,0,90,0,127,117
"Dysosmobacter sp910576865",80,320,77,0,102,74,0,201,177,20,128,23,249,146,0,19,35,36,104,0,629,25,40,0,55,106,149,0,486,21,28,0,14,66,37,359,0,16,76,0,46,32,19,78,0,83,138
"MGYG000330291",75,47,11,0,233,14,0,68,217,0,362,0,135,29,16,0,71,0,37,0,264,0,18,0,20,32,74,0,266,11,0,0,0,41,0,275,0,0,16,0,20,11,0,32,0,24,162
"MGYG000409008",69,52,24,0,56,30,0,52,111,0,79,0,73,75,0,0,21,12,20,0,431,0,0,0,0,93,51,0,276,0,29,0,0,31,0,336,0,0,38,0,17,43,0,0,0,71,72
"Dysosmobacter sp910589315",52,1797,0,0,35,12,0,986,103,0,55,0,141,712,0,13,14,0,50,32,334,0,0,0,52,862,82,11,260,0,147,0,0,124,0,270,38,55,230,0,10,124,11,81,0,189,32
"Dysosmobacter sp910587525",42,222,42,0,66,50,0,87,94,0,131,33,122,80,0,13,24,18,40,0,317,0,0,0,22,72,74,0,236,18,31,0,0,45,27,176,0,17,94,0,35,41,16,49,0,101,107
"Dysosmobacter sp910587875",36,41,12,0,49,13,0,49,74,0,43,19,127,31,0,0,27,10,29,0,151,0,20,0,14,37,71,0,120,11,0,0,0,28,0,120,0,0,25,0,0,15,0,15,0,35,61
"Dysosmobacter sp910584995",30,32,40,0,43,162,0,59,132,0,56,12,38,44,0,52,24,42,25,0,207,15,0,0,0,82,49,0,129,0,0,0,0,20,114,108,0,0,13,0,16,17,0,0,0,37,27
"Dysosmobacter sp910579435",32,82,19,0,46,17,0,67,101,0,56,0,71,65,0,0,13,16,24,0,370,0,12,0,17,94,42,0,269,0,17,0,0,26,0,277,0,0,29,0,0,30,12,0,0,40,39
"MGYG000411389",27,69,0,0,20,18,0,25,50,0,49,0,26,12,0,0,19,14,10,0,290,0,0,0,12,20,13,0,183,0,0,0,0,14,18,104,0,0,14,0,0,14,0,0,0,23,39
"MGYG000325877",24,0,0,0,13,0,0,22,28,0,21,0,25,12,0,0,0,0,0,0,85,0,0,0,0,13,11,0,77,0,0,0,0,10,0,60,0,0,17,0,0,0,0,0,0,17,15
"Dysosmobacter sp910584075",23,33,0,0,39,14,0,26,80,0,95,0,48,21,0,0,29,0,20,0,165,0,0,0,0,0,19,0,131,0,0,0,0,17,0,75,0,0,15,0,0,10,0,0,0,0,16
"Dysosmobacter sp910585245",20,25,0,0,27,11,0,36,108,0,60,11,28,26,0,0,31,18,15,0,315,0,12,0,11,39,29,0,173,0,0,0,0,23,0,94,0,0,14,0,17,0,0,10,0,34,44
"MGYG000373829",27,14,0,0,30,0,0,34,29,0,17,0,25,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,55,0,0,0,0,17,0,94,0,0,0,0,32,14,0,0,0,0,0
"Dysosmobacter sp910584465",17,68,12,0,29,0,0,65,55,0,37,0,36,22,0,0,16,0,28,0,144,0,0,0,15,21,17,0,89,0,0,32,0,11,0,65,0,18,19,0,10,17,16,114,0,28,20
"MGYG000330443",18,26,0,0,18,0,0,91,22,0,39,10,22,29,0,0,18,23,0,0,121,0,0,0,0,55,0,0,70,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,10,30
"MGYG000326793",16,37,0,0,33,16,0,145,57,0,64,0,29,21,0,0,24,11,0,0,137,0,0,0,11,23,16,15,110,0,0,0,0,0,15,61,0,0,0,0,0,13,10,0,0,21,15
"Dysosmobacter sp910576845",12,33,0,0,18,0,0,53,35,0,20,0,21,42,0,0,10,0,0,0,103,0,0,0,0,24,22,0,79,10,0,0,0,19,0,34,0,0,0,0,11,0,0,0,0,21,38
"MGYG000329180",15,63,0,0,16,20,0,57,48,0,26,0,29,23,0,0,15,0,16,0,156,0,0,0,0,32,20,0,107,0,0,0,0,26,0,75,0,0,11,0,0,15,0,13,0,19,25
"Pelethomonas sp910578505",1326,52,529,288,1314,90,110,39,935,132,2031,456,2236,27,241,44,339,141,876,0,491,95,312,56,184,21,493,0,952,164,0,0,45,292,569,3167,0,0,14,0,987,0,10,0,0,16,1200
"Pelethomonas sp910579965",610,1533,39,62,309,587,15,52,1375,0,534,110,543,44,27,153,453,25,249,0,1535,139,71,42,97,19,214,0,2777,54,0,0,46,123,67,1720,0,240,25,0,120,22,26,0,0,35,113
"Pelethomonas sp910579485",390,938,355,28,2193,671,21,25,2402,139,903,20,1704,31,280,179,271,21,294,0,13972,16,98,25,385,35,1509,0,9506,307,0,0,34,1116,171,2156,0,83,21,0,67,15,240,27,0,31,160
"Pelethomonas sp910587785",401,588,31,48,490,151,26,57,868,12,946,76,1520,43,43,67,205,184,288,0,1179,61,224,23,168,51,941,0,2105,51,1790,0,27,178,26,1525,239,44,3584,18,258,1744,72,29,0,4385,1936
"Pelethomonas sp022800665",200,84,50,31,344,268,0,20,887,0,401,298,423,0,16,223,139,107,162,0,817,122,65,23,112,17,66,0,1868,39,0,0,37,182,69,466,0,0,0,0,49,0,17,0,0,11,59
"Pelethomonas sp009774055",214,42,23,13,42,13,0,12,44,0,15,33,41,0,0,0,0,0,18,0,211,0,0,0,0,0,28,0,153,114,0,0,17,36,0,1163,0,0,0,0,25,0,0,0,0,0,38
"Pelethomonas sp022804995",199,198,16,16,238,15,0,0,390,0,253,30,391,22,29,14,96,0,197,0,1443,31,80,18,101,0,254,0,1866,54,0,0,21,129,0,680,0,14,0,0,49,0,15,0,0,12,80
"Pelethomonas sp014237695",140,236,4232,15,322,4495,0,87,427,1493,187,22,1461,46,45,607,41,81,104,0,2167,0,398,0,146,30,444,0,1401,62,0,0,0,293,2227,729,0,21,33,0,48,14,46,42,0,41,90
"Pelethomonas sp022795905",99,1312,12,11,85,0,0,14,130,0,64,22,191,13,14,0,23,0,59,0,876,15,27,0,40,0,41,0,997,43,0,0,0,66,13,361,0,50,0,0,0,0,30,0,0,0,22
"MGYG000326866",74,203,39,15,87,71,0,94,204,0,129,28,129,112,0,21,65,11,67,0,352,25,14,0,39,77,81,0,394,17,18,0,0,41,39,232,0,18,34,0,46,34,12,0,0,62,115
"Pelethomonas sp910583885",42,122,28,0,111,233,0,83,144,13,115,46,187,86,0,53,33,18,128,0,636,73,30,17,52,133,111,0,441,60,55,0,16,90,43,198,27,29,137,0,33,79,24,26,0,145,79
"Pelethomonas sp910588365",30,2288,35,0,59,113,0,20,92,17,81,32,184,18,0,53,23,38,94,0,247,0,14,0,48,13,43,0,194,0,0,0,0,55,36,125,0,273,15,0,29,10,182,17,0,21,39
"MGYG000410776",28,77,0,0,42,16,0,37,61,0,55,0,52,27,0,0,15,0,15,0,188,13,0,0,14,33,20,0,135,0,0,0,0,21,12,125,0,0,20,0,34,0,0,15,0,21,32
"Pelethomonas sp910587645",31,169,44,0,51,51,0,203,80,22,59,0,108,280,0,20,19,0,57,0,334,15,19,0,13,263,47,0,256,14,16,0,0,41,21,184,0,0,44,0,34,24,17,23,0,73,53
"Pelethomonas sp022800525",18,50,28,0,35,20,0,50,38,10,27,0,34,30,0,0,0,0,16,0,104,0,0,0,12,14,14,0,126,0,11,0,0,17,11,37,0,0,16,0,0,0,0,0,0,13,19
"Pelethomonas sp910588045",18,39,12,0,26,17,0,23,33,0,27,0,37,14,0,0,10,0,13,0,161,0,0,0,0,23,20,0,120,0,0,0,0,20,0,60,0,0,15,0,10,11,0,0,0,14,17
"MGYG000325557",16,41,16,0,22,14,0,15,35,0,24,0,36,27,0,0,20,0,16,0,98,0,0,0,15,14,15,0,76,0,0,0,0,23,0,41,0,0,11,0,23,0,0,10,0,11,22
"Pelethomonas sp910579725",18,123,34,0,75,47,0,58,100,14,87,0,95,40,13,11,24,19,29,0,444,0,0,0,18,45,69,0,325,14,0,0,0,45,28,171,0,0,18,0,14,0,0,34,0,27,41
"Pelethomonas sp910577915",15,60,13,0,28,19,0,16,36,0,20,0,33,14,0,0,15,0,10,0,135,0,0,0,0,0,11,0,83,0,0,0,0,12,16,61,0,0,0,0,0,0,0,0,0,0,14
"Pelethomonas sp910587505",14,52,0,0,38,24,0,18,47,0,35,0,32,20,0,0,18,0,11,0,227,0,0,0,14,50,28,0,134,0,12,0,0,33,12,50,0,0,12,0,0,12,0,0,0,31,16
"MGYG000325617",11,47,13,0,26,11,0,24,45,0,29,0,21,31,0,0,14,0,16,0,139,0,0,0,12,23,21,0,117,0,0,0,0,17,10,42,0,0,11,0,0,0,0,0,0,12,18
"Evtepia sp910584805",1028,415,0,69,936,0,198,0,1136,0,603,50,853,0,49,0,213,0,1202,0,6271,203,174,33,348,0,233,0,7432,203,0,0,127,1731,0,2695,0,0,13,0,954,0,67,0,0,0,417
"Evtepia sp022792035",338,2433,0,12,685,17,18,12,1302,0,663,73,129,0,15,0,169,15,123,0,4150,121,27,19,89,0,14,0,5875,65,0,0,110,1123,0,622,0,181,0,0,104,0,49,0,0,20,81
"Evtepia sp910578575",18,36,0,0,27,0,0,0,55,0,16,0,25,10,0,0,14,0,22,0,164,10,0,0,15,0,0,0,237,0,0,0,0,76,0,69,0,0,0,0,23,0,0,0,0,0,0
"Marseille-P3106 sp022799035",412,138,80,139,242,794,152,17,438,0,262,288,525,23,45,36,207,0,267,0,357,362,117,32,125,41,103,0,304,221,106,0,83,163,196,1283,53,14,226,0,81,254,0,25,0,1064,32
"Marseille-P3106 sp910587345",149,355,51,15,241,82,35,140,224,20,213,26,204,152,45,33,54,13,84,0,945,79,22,18,58,131,92,0,745,135,41,21,20,118,46,695,22,40,93,0,437,59,19,77,0,157,93
"Marseille-P3106 sp910588975",107,23,0,0,91,368,0,11,324,0,25,31,336,0,0,108,17,11,11,0,1672,18,32,85,194,0,18,0,888,520,0,0,12,349,74,669,0,0,0,0,0,0,0,0,0,13,14
"MGYG000410458",92,225,21,0,21,164,0,0,41,0,0,14,222,0,0,30,0,0,40,0,877,13,12,26,52,0,13,0,544,147,0,458,35,74,32,527,0,37,0,0,0,0,20,1710,75,0,0
"Marseille-P3106 sp910585735",14,42,0,0,0,0,0,0,19,0,0,0,37,0,0,0,0,19,0,0,32,0,0,0,25,0,0,0,33,13,0,0,0,20,0,65,0,0,0,0,0,0,0,0,0,0,0
"Marseille-P3106 sp022792495",13,44,12,0,0,35,0,0,15,0,0,0,33,0,0,0,0,0,0,0,125,0,0,0,11,0,0,0,85,47,0,72,0,18,16,63,0,17,0,0,0,0,0,185,0,0,0
"Marseille-P3106 sp022794215",13,30,90,0,11,240,0,0,15,12,0,13,89,0,0,63,0,39,27,0,542,0,10,0,33,0,15,0,254,94,0,44,13,21,67,169,0,10,0,0,0,0,0,208,0,0,0
"Marseille-P3106 sp022800215",10,0,16,0,10,13,0,0,37,0,28,0,74,0,0,0,0,0,0,0,317,0,0,0,39,0,19,0,184,46,0,0,0,38,24,147,0,0,0,0,0,0,0,0,0,0,0
"MGYG000326975",737,6489,5223,390,1519,894,224,6169,3338,1159,4033,3631,2738,6788,271,32,1690,279,2038,77,2575,1377,940,187,471,1672,1148,36,3177,1064,583,1126,394,394,3332,2965,184,322,1423,16,1699,658,76,2360,0,2934,1532
"NSJ-51 sp910585415",274,3226,245,17,654,255,0,556,1109,63,446,27,722,602,48,74,166,91,266,120,9552,14,34,21,156,4039,107,95,5117,65,471,284,20,205,398,1222,175,145,1409,0,118,1210,55,1164,0,1365,275
"MGYG000326314",90,122,586,11,35,1489,0,62,39,195,47,92,1322,66,0,284,17,22,256,0,135,39,66,30,345,58,80,0,86,160,20,0,97,386,262,580,0,0,33,0,96,26,0,15,0,41,279
"MGYG000325278",188,206,19,22,55,71,10,22,135,0,50,55,212,0,15,156,29,14,103,0,375,58,40,11,35,0,46,0,531,72,0,0,15,32,146,540,0,0,0,0,29,0,10,0,0,0,17
"CAJFPI01 sp022801715",60,154,11,18,65,15,0,487,160,0,132,14,97,872,0,0,43,0,44,29,167,0,0,0,13,614,16,16,190,16,222,0,0,43,13,234,17,0,418,0,41,267,26,14,0,524,10
"MGYG000327336",22,36,0,13,27,0,0,0,56,0,37,0,36,12,0,0,25,0,20,0,37,0,0,0,11,0,19,0,39,0,0,0,0,13,0,50,0,0,0,0,12,0,0,12,0,0,0
"MGYG000328896",18,515,16,0,44,0,0,34,117,0,55,11,72,71,0,0,27,0,32,0,181,0,0,0,13,36,20,0,179,0,18,0,0,31,10,130,0,26,46,0,13,19,17,0,0,40,13
"MGYG000329428",61,112,0,0,53,15,0,54,158,0,94,76,444,31,0,0,55,11,96,0,1174,32,86,21,108,34,50,0,614,180,0,0,19,123,0,291,0,0,29,0,18,22,0,24,0,40,19
"MGYG000329835",43,135,0,0,0,11,0,0,12,0,0,0,91,15,0,0,0,0,33,0,30,0,0,0,25,0,27,0,22,11,0,343,0,22,0,208,0,0,0,0,28,0,0,1279,0,0,71
"MGYG000410456",28,0,0,0,19,0,0,0,53,0,24,0,62,0,0,0,0,0,25,0,510,0,0,0,17,0,0,0,283,18,0,0,0,36,0,141,0,0,0,0,0,0,0,0,0,12,0
"CAKUEI01 sp022793685",22,0,0,0,40,144,0,0,43,0,25,0,59,0,0,23,0,0,0,0,707,14,0,0,33,0,0,0,452,30,0,0,11,30,0,144,0,0,0,0,0,0,0,0,0,0,0
"Avoscillospira_A sp022792945",16,76,0,0,40,14,0,30,81,0,41,0,124,41,0,0,20,0,69,0,119,14,13,0,16,26,38,0,137,0,0,60,0,40,13,86,0,12,22,0,38,0,10,160,0,20,17
"JAAWCD01 sp022793095",15,1128,59,0,64,71,0,26,119,15,146,0,90,19,0,45,45,0,29,0,124,0,15,0,19,24,27,0,221,0,0,0,0,25,52,46,0,22,0,0,50,10,0,15,0,24,362
"Acutalibacter sp910588935",4192,92,0,244,2551,154,778,96,2292,0,5644,13,1373,160,38,86,644,0,915,0,9974,56,492,13,367,187,634,0,9139,80,10,0,43,777,29,7928,0,0,26,0,2871,0,35,0,0,11,5113
"Acutalibacter sp009936035",2615,15225,35,98,3941,36,156,3483,10321,0,5634,345,2986,2271,221,24,2551,0,1670,524,13679,927,451,139,1416,10409,423,1032,12632,911,31,501,373,2778,248,5049,0,652,57,0,706,19,448,2199,0,73,341
"Acutalibacter sp910589395",1736,243,0,12,292,0,68,29,1108,0,481,321,416,16,84,0,305,51,415,0,1052,287,62,126,94,20,63,0,1163,2210,12,0,166,147,0,6654,0,0,23,0,47,0,0,12,0,18,18
"Acutalibacter sp910574935",1651,15001,95,74,688,122,147,802,3726,0,1490,57,1800,797,29,67,1019,23,931,23,12774,72,581,30,1285,664,395,28,14888,334,2493,153,71,2501,76,2312,378,378,5247,0,857,2172,391,563,0,4734,655
"Acutalibacter sp009917445",1170,1349,27,82,1447,67,140,26,2245,0,1672,115,3229,26,107,33,599,0,1321,0,7263,630,392,61,1018,76,177,0,6543,538,0,0,240,2268,249,2891,0,39,0,0,1950,0,50,22,0,15,276
"Acutalibacter muris",1290,3701,29,86,1069,592,65,16253,3824,0,2749,129,1465,28246,17,207,723,40,971,298,5611,661,357,74,185,39902,789,247,8261,739,886,22,405,388,53,2183,730,78,2153,26,688,515,90,36,0,1760,883
"Acutalibacter sp910587835",713,90,0,39,953,16,14,32,3478,0,2413,39,772,71,116,11,780,0,178,0,4379,253,128,28,198,89,184,10,7377,226,0,0,265,442,30,1061,0,0,12,0,111,0,0,0,0,0,152
"MGYG000406378",285,399,0,0,187,17,0,0,617,0,185,24,173,0,0,0,139,0,36,0,1080,67,17,21,135,10,0,0,1447,62,0,0,64,444,104,666,0,0,0,0,100,0,59,0,0,0,95
"Acutalibacter sp009917525",268,44,0,0,27,776,0,111,71,0,42,15,96,115,0,298,22,0,65,0,149,144,16,15,37,162,25,0,125,58,14,0,90,127,0,302,0,0,15,0,581,0,0,0,0,0,561
"MGYG000328916",125,82,0,0,21,237,0,271,84,0,68,0,45,472,0,105,21,0,27,0,154,44,10,10,10,722,21,0,182,28,27,0,29,61,0,114,0,0,40,0,164,13,0,0,0,23,187
"Acutalibacter sp910574995",109,344,30,0,169,30,25,164,436,0,282,21,199,200,22,15,99,0,106,11,889,95,32,0,94,311,68,24,700,55,12,14,27,198,33,287,10,19,36,0,173,16,27,55,0,30,102
"Acutalibacter sp910580045",37,56,0,0,32,11,0,30,115,0,41,0,28,69,0,0,28,0,22,0,179,18,0,0,18,73,12,0,176,0,0,0,0,41,0,85,0,0,24,0,21,0,0,17,0,0,24
"Acutalibacter sp003612555",35,43,0,0,950,129,12,31,5479,0,1806,57,986,45,47,26,1260,0,319,0,14317,308,172,45,286,47,58,0,12932,299,0,0,262,754,72,48,0,0,0,0,40,0,0,0,0,18,11
"Acutalibacter sp910587995",35,106,0,0,34,22,0,40,112,0,65,0,33,105,0,10,28,0,34,0,241,0,0,0,24,139,14,0,221,0,15,0,0,52,0,56,0,0,17,0,31,11,0,0,0,33,30
"Acutalibacter sp910588415",25,16,0,0,30,0,0,13,150,0,44,0,32,18,0,0,41,0,20,0,204,13,0,0,14,14,0,0,269,16,0,0,15,53,0,56,0,0,0,0,22,0,0,0,0,0,20
"Acutalibacter sp910584745",26,92,0,0,52,33,0,164,195,0,130,0,71,365,11,14,48,0,47,0,405,29,16,0,36,411,46,0,333,16,0,0,17,101,0,66,11,0,29,0,47,20,13,28,0,25,55
"MGYG000330157",22,60,0,0,22,0,0,21,83,0,48,0,38,18,0,0,22,0,13,0,117,0,0,0,32,40,0,0,97,0,0,0,0,44,0,40,0,0,0,0,19,0,0,14,0,0,25
"MGYG000331301",23,16,0,0,12,0,11,11,60,0,22,0,24,17,0,0,20,0,0,0,119,0,0,0,14,28,0,0,89,0,0,0,0,18,0,63,0,0,0,0,18,0,0,0,0,0,26
"MGYG000410931",15,0,0,0,24,11,0,0,45,0,28,0,0,0,0,0,18,0,0,0,36,0,0,0,0,0,0,0,32,10,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,15,0
"MGYG000328573",14,11,0,0,0,0,0,22,20,0,0,0,12,34,0,0,0,0,0,0,43,0,0,0,0,63,0,0,35,0,0,0,0,12,0,15,0,0,0,0,0,0,0,0,0,0,0
"Acutalibacter stercorigallinarum",11,10,0,0,0,0,0,0,21,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,17,11,0,0,13,0,0,0,0,0,0,23,0
"Eubacterium_R sp011958665",168,80,29,0,724,13,0,25,5737,0,3488,700,0,17,93,0,1642,29,0,0,6061,1554,0,164,298,0,23,0,13310,722,0,11,496,423,34,729,0,0,0,0,211,0,0,34,0,0,139
"MGYG000337810",61,109,16,13,122,306,23,0,266,0,67,53,208,0,73,28,92,0,50,0,329,457,156,21,116,0,233,0,393,101,0,0,67,320,91,320,0,0,0,0,183,0,11,25,0,0,45
"MGYG000379997",25,15,0,0,0,42,0,26,41,0,21,0,0,19,0,22,15,0,0,0,43,79,31,0,20,73,35,0,43,27,0,0,12,59,24,144,24,0,21,0,0,0,0,0,0,71,0
"MGYG000351739",48,244,28,0,62,145,0,287,227,0,115,14,247,86,42,16,81,15,133,0,251,166,92,11,75,41,134,0,310,62,0,51,31,144,49,367,14,19,43,212,65,28,0,111,606,109,112
"MGYG000410251",26,92,0,0,64,26,0,412,66,0,66,0,69,374,0,10,15,11,12,0,1121,0,10,0,16,477,15,0,463,12,58,16,0,21,10,173,26,12,123,0,0,42,0,84,0,185,12
